player_name,product_link,product_title,price,availability,Presentation,SKU,Product type(s),Signed by,Team Name,Presentation type,Bin Number,Getty Images,Source,Presentation size,Photo size,Signing Date,Signing Location,Additional Signing Date 2
Trent Alexander-Arnold,https://www.icons.com/trent-alexander-arnold-back-signed-liverpool-2024-25-home-shirt-in-deluxe-packaging-18636.html,Trent Alexander-Arnold Back Signed Liverpool FC 2024-25 Home Shirt In Deluxe Packaging,354.99,False,Deluxe Packaging,I3470D,Signed shirts,Trent Alexander-Arnold,Liverpool FC,Deluxe Packaged,N/A,N/A,,,,,,
Trent Alexander-Arnold,https://www.icons.com/trent-alexander-arnold-back-signed-liverpool-fc-2019-20-home-shirt-in-deluxe-packaging-20740.html,Trent Alexander-Arnold Back Signed Liverpool FC 2019-20 Home Shirt In Deluxe Packaging,309.99,False,,I1041D,Signed shirts,Trent Alexander-Arnold,Liverpool FC,Deluxe Packaged,H8,N/A,A1 Sporting Speakers,375mm (H) x 315mm (W) x 40mm (D),,,,
Trent Alexander-Arnold,https://www.icons.com/trent-alexander-arnold-back-signed-liverpool-2024-25-home-shirt-in-hero-frame-18638.html,Trent Alexander-Arnold Back Signed Liverpool FC 2024-25 Home Shirt In Hero Frame: Option 1,519.99,False,,I3470HF1,Signed shirts,Trent Alexander-Arnold,Liverpool FC,Framed,M13,N/A,,1015mm (W) x 750mm (H) x 25mm (D),,,,
Trent Alexander-Arnold,https://www.icons.com/trent-alexander-arnold-back-signed-liverpool-2024-25-home-shirt-in-classic-frame-18637.html,Trent Alexander-Arnold Back Signed Liverpool FC 2024-25 Home Shirt In Classic Frame,494.99,False,Classic Framing,I3470CF,Signed shirts,Trent Alexander-Arnold,Liverpool FC,Framed,N/A,N/A,,885mm (H) x 780mm (W) x 30mm (D),,,,
Trent Alexander-Arnold,https://www.icons.com/trent-alexander-arnold-official-uefa-champions-league-back-signed-and-framed-liverpool-fc-2024-25-home-shirt-40916.html,Trent Alexander-Arnold Official UEFA Champions League Back Signed and Framed Liverpool FC 2024-25 Home Shirt,619.99,False,,I3470UCLF,Signed shirts,Trent Alexander-Arnold,Liverpool FC,Framed,N/A,N/A,,875mm (H) x 785mm (W) x 38mm (D),,,,
Trent Alexander-Arnold,https://www.icons.com/trent-alexander-arnold-signed-liverpool-2019-20-home-shirt-in-commentary-chart-frame-1.html,Trent Alexander-Arnold Back Signed Liverpool FC 2019-20 Home Shirt In Commentary Chart Frame,499.99,False,,I1041HFCC,Signed shirts,Trent Alexander-Arnold,,Framed,H8,N/A,A1 Sporting Speakers,1015mm (W) x 750mm (H) x 25mm (D),,,,
Trent Alexander-Arnold,https://www.icons.com/trent-alexander-arnold-back-signed-liverpool-fc-2019-20-home-shirt-in-hero-frame-20742.html,Trent Alexander-Arnold Back Signed Liverpool FC 2019-20 Home Shirt In Hero Frame: Option 1,474.99,False,,I1041HF1,Signed shirts,Trent Alexander-Arnold,Liverpool FC,Framed,H8,N/A,A1 Sporting Speakers,1015mm (W) x 750mm (H) x 25mm (D),,,,
Trent Alexander-Arnold,https://www.icons.com/trent-alexander-arnold-back-signed-liverpool-fc-2019-20-home-shirt-in-classic-frame-20741.html,Trent Alexander-Arnold Back Signed Liverpool FC 2019-20 Home Shirt In Classic Frame,449.99,False,,I1041CF,Signed shirts,Trent Alexander-Arnold,Liverpool FC,Framed,H8,N/A,A1 Sporting Speakers,885mm (H) x 780mm (W) x 30mm (D),,,,
Trent Alexander-Arnold,https://www.icons.com/trent-alexander-arnold-front-signed-liverpool-2020-21-home-shirt-41569.html,Trent Alexander-Arnold Front Signed Liverpool FC 2020-21 Home Shirt,249.99,False,,TB1666,Signed shirts,Trent Alexander-Arnold,Liverpool FC,Unframed,E11,N/A,A1 Sporting Speakers,,,,,
Trent Alexander-Arnold,https://www.icons.com/trent-alexander-arnold-back-signed-liverpool-fc-2021-22-home-shirt-34571.html,Trent Alexander-Arnold Back Signed Liverpool FC 2021-22 Home Shirt,179.99,False,,TB1580,Signed shirts,Trent Alexander-Arnold,Liverpool FC,Unframed,N/A,N/A,A1 Sporting Speakers,,,,,
Trent Alexander-Arnold,https://www.icons.com/trent-alexander-arnold-signed-under-armour-boot-07312.html,Trent Alexander-Arnold Signed Under Armour Boot,219.99,False,,I1445,Signed boots,Trent Alexander-Arnold,,Unframed,P12,N/A,A1 Sporting Speakers,,,,,
Trent Alexander-Arnold,https://www.icons.com/steven-gerrard-trent-alexander-arnold-signed-liverpool-fc-photos-in-dual-photo-frame-2.html,Steven Gerrard & Trent Alexander-Arnold Signed Liverpool FC Photos In Dual Photo Frame,279.99,False,,A10762A10850DP,Signed photos,"Steven Gerrard, Trent Alexander-Arnold",,Framed,D78,N/A,,,16 x 12 inches,,,
