player_name,signature_worth
Dele Alli,1100.0
Casemiro,1100.0
Sergio Busquets,1100.0
Karim Benzema,1000.0
Pierre-Emerick Aubameyang,999.99
Eduardo Camavinga,899.99
Jordi Alba,699.99
Jarrod Bowen,699.99
Dominic Calvert-Lewin,679.99
Michail Antonio,639.99
Trent Alexander-Arnold,619.99
Kevin De Bruyne,599.99
Alisson Becker,549.99
Philippe Coutinho,519.99
Sebastian Cordova,449.99
Jack Butland,349.99
Santi Cazorla,299.99
Aaron Cresswell,249.99
Nathaniel Chalobah,99.99
Nathaniel Clyne,99.99
Andy Carroll,74.99
